"","Nationals","Liberals","Labor"
"httpstcolkxtczzxj",0,1,0
"httpstcollexqgyyjg",0,1,0
"httpstcolnwlnsru",0,1,0
"httpstcolrnsplqp",0,1,0
"httpstcolrvskubzw",0,1,0
"httpstcolsufeqyka",0,1,0
"httpstcolvfwvecuqa",0,1,0
"httpstcolvviyjyn",0,1,0
"httpstcomapmhppb",0,1,0
"httpstcomcenyzn",0,1,0
"httpstcomcjgtabx",0,1,0
"httpstcomcohwct",0,1,0
"httpstcomdfuhfkvc",0,1,0
"httpstcomdzmxjwtvi",0,1,0
"httpstcomeuyfynmla",0,1,0
"httpstcomgrmrvpryc",0,1,0
"httpstcomgslkizuv",0,1,0
"httpstcomgvvfgxa",0,1,0
"httpstcomgzpkupkf",0,1,0
"httpstcomjgcebq",0,1,0
"httpstcomribeyhrr",0,1,0
"httpstcomvaiokifan",0,1,0
"httpstcomvltgrqsf",0,1,0
"httpstcomvuviupjw",0,1,0
"httpstcomvvagdlh",0,1,0
"httpstcomxtngfnj",0,1,0
"httpstcomznaeaebwf",0,1,0
"httpstconatrglsgmh",0,1,0
"httpstconbussaglw",0,1,0
"httpstconcoxftdd",0,1,0
"httpstconcrtpacc",0,1,0
"httpstcondtwjjclyd",0,1,0
"httpstconevjpczu",0,1,0
"httpstcongufsfl",0,1,0
"httpstconhljpfcyq",0,1,0
"httpstconlqfifr",0,1,0
"httpstconmexaefqf",0,1,0
"httpstconmvioujca",0,1,0
"httpstconnqkwzzeb",0,1,0
"httpstconsdeisa",0,1,0
"httpstcontklkrso",0,1,0
"httpstconvepvtgjey",0,1,0
"httpstconwfbgf",0,1,0
"httpstconygdwnx",0,1,0
"httpstconylivjq",0,1,0
"httpstconyqfnqumz",0,1,0
"httpstconyqjgoegf",0,1,0
"httpstcoodcbdzdug",0,1,0
"httpstcoodxcqn",0,1,0
"httpstcooevdbby",0,1,0
"httpstcoogcmo",0,1,0
"httpstcoogqpnicwu",0,1,0
"httpstcoogvmkcfv",0,1,0
"httpstcooippzhzm",0,1,0
"httpstcoojefzlr",0,1,0
"httpstcoomeilyp",0,1,0
"httpstcoorjlplu",0,1,0
"httpstcoossaezr",0,1,0
"httpstcoouiwmmrv",0,1,0
"httpstcoouwcpgymg",0,1,0
"httpstcoovkrmgblm",0,1,0
"httpstcoovutiskhnp",0,1,0
"httpstcoowjsxttbd",0,1,0
"httpstcooysrpox",0,1,0
"httpstcopadhhi",0,2,0
"httpstcopbpdknp",0,1,0
"httpstcopbwshhjg",0,1,0
"httpstcopclal",0,1,0
"httpstcopedczci",0,1,0
"httpstcopiayhpmwoi",0,1,0
"httpstcoptjypezh",0,1,0
"httpstcoptzeajiwtv",0,1,0
"httpstcopvyfqrwa",0,1,0
"httpstcopweeoqm",0,1,0
"httpstcopxayhbspt",0,1,0
"httpstcopxxhjfkqdw",0,1,0
"httpstcopzleunrvov",0,1,0
"httpstcopznstuvu",0,1,0
"httpstcopzwxnsaj",0,1,0
"httpstcoqaeffrf",0,1,0
"httpstcoqaflpvxkcz",0,1,0
"httpstcoqbkgjezjr",0,1,0
"httpstcoqctksqbcr",0,1,0
"httpstcoqdzghcqkbm",0,1,0
"httpstcoqeoqqoneh",0,1,0
"httpstcoqgzhlakkh",0,1,0
"httpstcoqhjjfxdt",0,1,0
"httpstcoqjlufdgz",0,1,0
"httpstcoqkundddcj",0,1,0
"httpstcoqnwbfgr",0,1,0
"httpstcoqpyhrcweg",0,1,0
"httpstcoqqhdypdpkp",0,1,0
"httpstcoqqpedeuk",0,1,0
"httpstcoqqxstgncu",0,1,0
"httpstcoqrbxmprg",0,1,0
"httpstcorcatkmbwg",0,1,0
"httpstcorecivzq",0,1,0
"httpstcoreqrjzq",0,1,0
"httpstcorfbnijea",0,1,0
"httpstcorfrhiyx",0,1,0
"httpstcorgqalnyur",0,1,0
"httpstcorhfexktj",0,1,0
"httpstcoripauajp",0,1,0
"httpstcoripxbmhx",0,1,0
"httpstcorkcxr",0,1,0
"httpstcorkzmkag",0,1,0
"httpstcormiuqjmkl",0,1,0
"httpstcorormtmvri",0,1,0
"httpstcorptwuqcbz",0,1,0
"httpstcortsoqdqcd",0,1,0
"httpstcorucxptkq",0,1,0
"httpstcorvqiosetg",0,1,0
"httpstcosacoxbon",0,1,0
"httpstcosagzzjnk",0,1,0
"httpstcosclpewfc",0,1,0
"httpstcosefejmxa",0,1,0
"httpstcosetdspsww",0,1,0
"httpstcosgq",0,1,0
"httpstcoshqlhkxltq",0,1,0
"httpstcosiuiymxwtv",0,1,0
"httpstcoskmucogrwn",0,1,0
"httpstcoskuazok",0,1,0
"httpstcosuzgymavoj",0,1,0
"httpstcosvbwmjjc",0,1,0
"httpstcosxhqwxbmi",0,1,0
"httpstcotayybvxcc",0,1,0
"httpstcotbeifocki",0,1,0
"httpstcotbhgss",0,1,0
"httpstcotdmgxnotp",0,1,0
"httpstcotfeftmrd",0,1,0
"httpstcothjyrxlxi",0,1,0
"httpstcotizvk",0,1,0
"httpstcotjdixbrlo",0,1,0
"httpstcotlqkjispm",0,1,0
"httpstcotntowtcpmi",0,1,0
"httpstcotnvnycmd",0,1,0
"httpstcotocjwgbp",0,1,0
"httpstcotsaxncdweh",0,1,0
"httpstcotugriw",0,1,0
"httpstcotulfoi",0,1,0
"httpstcotutszbxyk",0,1,0
"httpstcotvlhjxggw",0,1,0
"httpstcotwdwgsvo",0,1,0
"httpstcotxeyuwsljg",0,1,0
"httpstcotyfeqjz",0,1,0
"httpstcotzlccpeyxx",0,1,0
"httpstcotzwqti",0,1,0
"httpstcoucpirxsiz",0,1,0
"httpstcoueefxzqps",0,1,0
"httpstcouewvndxon",0,1,0
"httpstcouflmxmzja",0,1,0
"httpstcoufrlht",0,1,0
"httpstcouhbocmhp",0,1,0
"httpstcouhdeayzcg",0,1,0
"httpstcouiqbdfx",0,1,0
"httpstcouisdjkuex",0,1,0
"httpstcoukazadnswc",0,1,0
"httpstcoukjqowk",0,1,0
"httpstcoukxevruc",0,1,0
"httpstcoumopsiyrh",0,1,0
"httpstcoupfjmjr",0,1,0
"httpstcouqeceg",0,1,0
"httpstcousqvhrv",0,1,0
"httpstcouucugfqmjf",0,1,0
"httpstcouudfwzsi",0,1,0
"httpstcouvjhrdwrpf",0,1,0
"httpstcouypesmhmw",0,1,0
"httpstcovabmlvin",0,1,0
"httpstcovawytftyo",0,1,0
"httpstcovbhylnyhek",0,1,0
"httpstcovdeiutdb",0,1,0
"httpstcovfbdpbvxad",0,1,0
"httpstcovfcqqfnvtz",0,1,0
"httpstcovfekcsalm",0,1,0
"httpstcovijiurr",0,1,0
"httpstcovjnvbuvio",0,1,0
"httpstcovjttqreig",0,1,0
"httpstcovlgilrtfg",0,1,0
"httpstcovlkixnyqhh",0,1,0
"httpstcovlwbsskur",0,1,0
"httpstcovocumqeaf",0,1,0
"httpstcovonvfloejt",0,1,0
"httpstcovrbcmsofp",0,1,0
"httpstcovslqwoiy",0,1,0
"httpstcovsqmtcwzfu",0,1,0
"httpstcovvplaeay",0,1,0
"httpstcovwriykyj",0,1,0
"httpstcovxuykxlw",0,1,0
"httpstcovyjqmxh",0,1,0
"httpstcovzjireebr",0,1,0
"httpstcowdomryajr",0,1,0
"httpstcowepvgeq",0,1,0
"httpstcowhxtjutjyv",0,1,0
"httpstcowiiixps",0,1,0
"httpstcowixjbsynlh",0,1,0
"httpstcowlefcj",0,1,0
"httpstcowlgdccwzc",0,1,0
"httpstcowoizjogt",0,1,0
"httpstcowoyzka",0,1,0
"httpstcowtvpqiiyq",0,1,0
"httpstcowwmeukdmw",0,1,0
"httpstcowxjaqcqg",0,1,0
"httpstcowygcrdioc",0,1,0
"httpstcowywmuivp",0,1,0
"httpstcowzgzuuax",0,1,0
"httpstcoxeadst",0,1,0
"httpstcoxexcvvgu",0,1,0
"httpstcoxffzsheit",0,1,0
"httpstcoxgwxqoqbo",0,1,0
"httpstcoxhyayccgc",0,1,0
"httpstcoxilcwugt",0,1,0
"httpstcoxjhaaytzt",0,1,0
"httpstcoxkmlcheus",0,1,0
"httpstcoxlacpge",0,1,0
"httpstcoxljfavcc",0,1,0
"httpstcoxnbkzzhtk",0,1,0
"httpstcoxoiebb",0,1,0
"httpstcoxoshokrbx",0,1,0
"httpstcoxpgpeqt",0,1,0
"httpstcoxwjfbodk",0,1,0
"httpstcoxyjjpod",0,1,0
"httpstcoxyzzegwwhx",0,1,0
"httpstcoyalynagm",0,1,0
"httpstcoyhmosvvrw",0,1,0
"httpstcoyhzwzgentj",0,1,0
"httpstcoylvfwvdch",0,1,0
"httpstcoypshjftbsq",0,1,0
"httpstcoypuvajhek",0,1,0
"httpstcoysyiaibo",0,1,0
"httpstcoytbnyt",0,1,0
"httpstcoyuanublvq",0,1,0
"httpstcoyuqxawuj",0,1,0
"httpstcoyvxzwobrv",0,1,0
"httpstcoywfiftqdo",0,1,0
"httpstcoyxegkovvc",0,1,0
"httpstcoyzlsefrgk",0,1,0
"httpstcoyzzvgeicld",0,1,0
"httpstcozduogju",0,1,0
"httpstcozhonk",0,1,0
"httpstcozibgaospoq",0,1,0
"httpstcozifqxrjnp",0,1,0
"httpstcozigeqvjrq",0,1,0
"httpstcozjdqrr",0,2,0
"httpstcozmulbguibi",0,1,0
"httpstcozoaggzr",0,1,0
"httpstcozpjgwd",0,1,0
"httpstcozteewqxz",0,1,0
"httpstcoztiyomiyh",0,1,0
"httpstcoztybinba",0,1,0
"httpstcozykzcflk",0,1,0
"httpstcozyrpmmkl",0,1,0
"huge",0,5,7
"hughesouthwal",0,1,0
"hull",0,1,0
"humanitarian",0,1,2
"humanitix",0,1,0
"hundr",0,4,13
"hurd",0,1,0
"hurt",0,3,7
"ianhalliday",0,1,0
"ibac",0,1,0
"icarson",0,2,0
"icon",0,1,2
"icymi",0,1,3
"identifi",0,1,0
"ill",0,1,8
"ilovemyjob",0,1,0
"imag",0,1,0
"imageri",0,1,0
"imfnew",0,2,0
"immigr",0,1,10
"impact",0,3,5
"imperi",0,1,0
"implement",0,3,1
"implic",0,1,0
"impress",0,3,1
"inadvert",0,1,0
"inaugur",0,2,0
"incid",0,1,0
"incl",0,1,0
"incom",0,1,12
"increas",0,8,5
"incred",0,4,3
"incur",0,1,0
"index",0,2,0
"indic",0,1,1
"indigenousexcel",0,1,0
"indonesian",0,2,4
"indopacom",0,1,0
"induct",0,1,0
"ineffect",0,1,0
"inflat",0,2,0
"inform",0,1,3
"infosi",0,1,0
"inner",0,1,0
"innoc",0,1,0
"innov",0,4,6
"innovat",0,1,0
"inquiri",0,1,3
"insight",0,1,0
"insightsb",0,4,0
"inspect",0,3,0
"instal",0,2,1
"instead",0,2,1
"institu",0,1,0
"institut",0,5,2
"instruct",0,1,0
"insult",0,1,1
"intact",0,1,0
"integr",0,2,11
"intellig",0,2,1
"intend",0,1,2
"intent",0,1,3
"inter",0,1,1
"interact",0,1,0
"interchang",0,1,0
"interf",0,1,0
"interfer",0,2,1
"interim",0,1,0
"internationa",0,1,0
"internationalmensday",0,1,0
"internetbig",0,1,0
"intervent",0,1,0
"introduct",0,1,0
"inund",0,1,0
"investitur",0,1,0
"investor",0,6,0
"invit",0,3,6
"involv",0,1,0
"ipaav",0,1,0
"iphon",0,1,0
"isabeldayman",0,1,0
"islam",0,2,1
"islamicsocietyofsa",0,1,0
"island",0,4,0
"isol",0,1,0
"jakarta",0,1,0
"jame",0,1,0
"jan",0,1,0
"janeprenticemp",0,3,0
"janin",0,1,0
"janv",0,2,0
"jasonclaremp",0,1,2
"jasonfalinskimp",0,6,0
"jasonwoodmp",0,2,0
"jasper",0,1,1
"jdrfaustralia",0,1,0
"jeff",0,1,0
"jen",0,2,0
"jenbrocki",0,2,0
"jerusalem",0,1,6
"jervi",0,2,0
"jimmolan",0,1,1
"jingleemlc",0,1,0
"jkalbrechtsen",0,1,0
"jkcorden",0,1,0
"jobseek",0,1,0
"joh",0,1,0
"johnni",0,1,0
"johnpolla",0,1,0
"joi",0,1,1
"jokowi",0,1,1
"jonfain",0,1,0
"joshuamorrismp",0,1,0
"joy",0,1,2
"jpjank",0,1,0
"jsf",0,1,0
"jude",0,1,0
"judg",0,2,0
"juli",0,1,3
"juliebishopmp",0,9,0
"justic",0,1,1
"karenandrewsmp",0,2,0
"karenmmiddleton",0,1,0
"karenpoulten",0,1,0
"kariaus",0,1,0
"kathleen",0,1,0
"kawaguchi",0,1,0
"keenan",0,1,0
"kellyodwy",0,7,1
"kennedytownsend",0,1,0
"kenwyattmp",0,1,4
"keqiang",0,1,0
"kew",0,2,0
"kha",0,1,0
"kick",0,1,5
"kickstart",0,1,0
"kid",0,4,24
"kill",0,1,3
"kim",0,3,4
"king",0,1,0
"kitchen",0,1,0
"klymenko",0,1,0
"knee",0,3,0
"knight",0,1,0
"knowledg",0,2,0
"korea",0,1,0
"kotvoj",0,1,0
"krissyskitchen",0,1,0
"kulpayna",0,1,0
"kurtfearnley",0,1,2
"kyli",0,1,0
"kyr",0,3,0
"label",0,1,0
"laborheld",0,1,0
"ladi",0,1,1
"lainieluvsloc",0,2,0
"lakekamu",0,1,0
"lakeland",0,1,0
"lakemba",0,1,0
"landscap",0,1,0
"lang",0,4,0
"largehul",0,1,0
"largest",0,1,4
"later",0,2,3
"latest",0,3,7
"lathlain",0,1,0
"laugh",0,1,1
"lauriekoranski",0,1,0
"law",0,6,8
"lay",0,1,1
"layba",0,1,0
"lcpl",0,1,0
"lead",0,9,15
"leadi",0,1,0
"least",0,2,4
"leaver",0,1,0
"led",0,2,2
"legaci",0,1,1
"legal",0,1,2
"legend",0,1,5
"legendari",0,1,0
"leichhardt",0,1,2
"lemon",0,1,0
"leonbyneraa",0,2,0
"less",0,4,18
"lesson",0,1,2
"let",0,4,10
"lgas",0,1,0
"liamhoulihan",0,1,0
"liberalsahq",0,1,0
"liberalvictoria",0,1,0
"licenc",0,1,0
"lie",0,3,16
"lifechang",0,1,0
"lifelin",0,2,0
"lifesav",0,1,0
"lifetim",0,1,0
"lifetimeachiev",0,1,0
"lift",0,1,1
"light",0,4,3
"limit",0,1,0
"list",0,2,2
"listen",0,7,12
"listin",0,1,0
"liveandlet",0,1,0
"livvi",0,1,0
"lnpqld",0,1,0
"load",0,2,1
"locat",0,1,1
"lockheedmartin",0,1,0
"logan",0,3,1
"lol",0,1,2
"long",0,5,11
"longest",0,2,0
"longterm",0,1,1
"loss",0,1,1
"low",0,1,6
"lower",0,1,11
"loyal",0,1,0
"loyalti",0,1,0
"lukeaf",0,1,0
"luna",0,1,0
"lurssen",0,1,0
"lutheran",0,1,0
"lwc",0,1,0
"lyle",0,1,0
"mac",0,3,0
"macbeth",0,1,0
"macca",0,1,0
"machin",0,1,0
"mackellar",0,2,0
"maintain",0,4,0
"mainten",0,1,0
"majesti",0,1,0
"major",0,6,4
"makin",0,1,0
"malaspina",0,2,0
"mall",0,1,1
"malvern",0,1,0
"man",0,3,7
"mancha",0,1,0
"marathon",0,1,1
"margi",0,1,0
"marion",0,1,0
"maritim",0,1,0
"mark",0,5,2
"markdreyfusqcmp",0,1,12
"market",0,3,6
"markhumphri",0,1,2
"marloo",0,2,0
"marriag",0,4,3
"marshal",0,1,0
"marshallsteven",0,3,0
"marvel",0,1,0
"mash",0,1,0
"math",0,1,2
"mathiascormann",0,3,1
"matt",0,1,3
"matthew",0,3,4
"matthewguymp",0,6,1
"matthewlesh",0,1,0
"matthewpant",0,4,0
"mattkeanmp",0,1,0
"mattkeogh",0,5,0
"may",0,1,8
"mchappyday",0,2,3
"mean",0,3,17
"meantim",0,1,0
"meanwhil",0,1,2
"mearesi",0,2,0
"measur",0,2,4
"med",0,1,1
"meda",0,1,0
"medic",0,3,2
"medicar",0,1,1
"mediums",0,1,0
"medscheck",0,1,0
"megawatt",0,1,0
"melb",0,1,0
"melgreigradio",0,1,0
"melindapaveymp",0,2,0
"melton",0,2,0
"membership",0,1,0
"meme",0,2,0
"memorandum",0,2,0
"menstrual",0,2,0
"mental",0,3,0
"mention",0,3,7
"mentor",0,2,1
"menzi",0,2,0
"mercedespag",0,1,0
"meshellauri",0,1,0
"met",0,1,8
"metro",0,1,1
"mgrant",0,2,0
"michael",0,2,5
"michaelkeenanmp",0,1,0
"michaelobrienmp",0,2,0
"migrat",0,3,5
"mil",0,1,0
"mileston",0,3,2
"millswood",0,1,0
"milvehco",0,2,0
"min",0,1,1
"mini",0,1,1
"miroslavlajcak",0,1,0
"mis",0,1,0
"misconduc",0,1,0
"misconduct",0,2,1
"misdiagnos",0,1,0
"miser",0,1,1
"mitchel",0,1,0
"mob",0,1,0
"modern",0,1,2
"mog",0,7,0
"mogfiji",0,6,0
"mollymagpi",0,1,0
"mond",0,1,0
"monday",0,1,0
"monetari",0,1,1
"moneynewsshow",0,1,0
"moniquehor",0,1,0
"moon",0,1,0
"moral",0,1,0
"moresbi",0,1,0
"moriarti",0,1,0
"morrison",0,3,94
"morrisongovt",0,3,1
"mosqu",0,1,0
"most",0,1,1
"mother",0,1,0
"motion",0,1,2
"moustach",0,1,0
"move",0,4,13
"movemb",0,1,0
"movemberaus",0,1,0
"mps",0,4,4
"mri",0,1,0
"mris",0,1,0
"mthistlethwait",0,5,6
"muddi",0,1,0
"multi",0,1,0
"multin",0,1,4
"murder",0,1,1
"music",0,1,6
"musician",0,1,0
"muslim",0,3,8
"muslimcommun",0,1,0
"muster",0,1,0
"mutual",0,1,0
"myhealthrecord",0,1,1
"myrtl",0,1,0
"naccho",0,1,0
"nacchoaustralia",0,2,0
"nambour",0,3,0
"name",0,5,7
"natarjshakram",0,1,0
"nationa",0,1,0
"nationalfirst",0,1,0
"nationalrecyclingweek",0,1,0
"natwhit",0,1,0
"nausori",0,1,0
"naval",0,1,1
"navalshipbuildc",0,1,0
"navi",0,2,0
"navig",0,1,0
"nbn",0,2,6
"ndi",0,1,0
"ndis",0,21,2
"nealefong",0,1,0
"negat",0,7,29
"neon",0,1,0
"nest",0,1,0
"net",0,1,0
"newest",0,1,0
"newman",0,1,0
"newsadel",0,1,0
"newsadelaid",0,1,2
"newsfi",0,1,0
"newssydney",0,1,0
"newstalkbc",0,1,0
"nice",0,1,0
"nickthym",0,1,0
"nicola",0,1,0
"nicolleflint",0,4,0
"nino",0,2,0
"nitv",0,1,0
"nomin",0,2,2
"none",0,1,1
"nongovern",0,1,0
"noongar",0,1,0
"nope",0,1,0
"normi",0,1,0
"northern",0,7,4
"nose",0,1,0
"notsomuch",0,1,0
"nottl",0,1,0
"novemb",0,1,4
"npc",0,1,3
"nswalc",0,1,0
"nth",0,1,0
"number",0,1,8
"nyc",0,1,0
"nyora",0,1,0
"nyt",0,2,0
"oat",0,1,0
"observ",0,5,2
"observatori",0,1,0
"obvious",0,1,5
"oconnor",0,2,1
"octob",0,2,2
"odd",0,1,0
"oecd",0,1,0
"offic",0,9,11
"offici",0,3,7
"offshor",0,6,1
"okay",0,1,1
"older",0,1,0
"onlin",0,1,2
"onthisday",0,1,2
"onto",0,1,0
"ooh",0,1,0
"openin",0,2,0
"oper",0,3,1
"oppos",0,2,3
"opposit",0,2,3
"opt",0,1,0
"optout",0,1,6
"opv",0,3,0
"orbit",0,1,0
"order",0,1,3
"ordinari",0,2,0
"organ",0,3,1
"organisedsupport",0,1,0
"orion",0,1,0
"ormiearmi",0,2,0
"ormiston",0,1,0
"ormond",0,1,0
"osborn",0,5,2
"ourdsa",0,1,0
"outer",0,1,1
"outstand",0,2,1
"overal",0,1,1
"overnight",0,2,1
"overwhelm",0,1,2
"ownyourton",0,2,0
"ozharvest",0,5,0
"pace",0,1,1
"packag",0,1,1
"pact",0,1,0
"page",0,1,2
"pain",0,5,0
"painaustralia",0,1,0
"paint",0,1,1
"palaszczuk",0,1,2
"palm",0,4,0
"palpabl",0,3,0
"panel",0,3,2
"panther",0,1,0
"paper",0,2,2
"papua",0,1,0
"par",0,1,0
"para",0,1,0
"paralympian",0,2,0
"pare",0,1,0
"parent",0,8,7
"park",0,5,10
"parksaustralia",0,1,0
"parliamentari",0,2,0
"parti",0,2,15
"particip",0,5,2
"particular",0,1,1
"passion",0,2,0
"path",0,3,3
"pathet",0,2,2
"pato",0,1,0
"patrol",0,8,1
"patskarvela",0,1,10
"patterson",0,1,0
"paul",0,1,7
"paulfletchermp",0,4,0
"paus",0,2,0
"pay",0,5,23
"payg",0,2,1
"payment",0,7,0
"pcyc",0,1,0
"peac",0,1,1
"pedro",0,1,0
"pellegrini",0,3,0
"pelvic",0,1,0
"pelvicpainfa",0,1,0
"pen",0,1,1
"penni",0,1,1
"penrith",0,1,0
"penshurst",0,1,0
"per",0,3,5
"perform",0,3,1
"period",0,4,5
"permiss",0,1,0
"person",0,2,5
"perth",0,6,2
"perthfc",0,1,0
"perthob",0,2,0
"peterswitz",0,1,0
"pharmaci",0,1,0
"pharmguildaus",0,1,0
"photo",0,2,3
"photobomb",0,1,0
"pick",0,3,1
"pioneer",0,2,0
"pipe",0,1,0
"pittwat",0,1,0
"place",0,6,4
"plane",0,1,1
"planet",0,2,3
"planetark",0,2,0
"planner",0,2,0
"plastic",0,1,0
"platform",0,1,0
"play",0,4,8
"player",0,1,1
"pleasur",0,6,4
"plenari",0,1,0
"plus",0,2,1
"pms",0,1,1
"pnda",0,1,0
"png",0,5,0
"polic",0,1,7
"poll",0,1,3
"pond",0,1,0
"poor",0,2,4
"pop",0,1,0
"poppi",0,2,0
"popul",0,3,2
"post",0,2,2
"postflight",0,1,0
"postwar",0,1,0
"potd",0,1,0
"potenti",0,3,1
"pow",0,1,0
"power",0,6,44
"prc",0,1,0
"precinct",0,1,0
"precis",0,2,1
"preserv",0,1,0
"preshil",0,1,0
"pressur",0,2,1
"prevent",0,3,2
"priceless",0,1,0
"princip",0,1,2
"privaci",0,2,2
"privileg",0,1,3
"profession",0,1,4
"prog",0,1,0
"promin",0,1,0
"promis",0,5,8
"prompt",0,1,0
"proportion",0,1,0
"proposin",0,1,0
"prosec",0,1,0
"prosecut",0,4,0
"prosecutor",0,1,0
"prosper",0,2,1
"prostat",0,1,0
"prot",0,1,0
"protect",0,5,17
"pte",0,1,0
"pull",0,2,2
"punch",0,1,2
"punish",0,2,1
"pursu",0,5,1
"push",0,1,5
"pyne",0,2,6
"pyneandmarl",0,2,0
"qampa",0,1,0
"qanda",0,6,3
"qimrberghof",0,1,0
"qlds",0,2,1
"qtr",0,2,0
"qualiti",0,1,1
"quarter",0,4,4
"queenslan",0,1,0
"quick",0,1,0
"raad",0,1,0
"raaf",0,1,0
"race",0,1,2
"rachelbaxendal",0,1,0
"radio",0,1,1
"radiolukegr",0,1,0
"raid",0,6,1
"ran",0,1,0
"random",0,1,0
"rangerging",0,1,0
"rapid",0,1,1
"rar",0,1,0
"rather",0,1,1
"rationalbitch",0,5,0
"ray",0,2,1
"rdaddsw",0,1,0
"reaction",0,1,0
"read",0,9,9
"readi",0,4,3
"real",0,7,6
"realiti",0,1,1
"realtim",0,1,0
"reaper",0,3,0
"reappoint",0,1,0
"reason",0,4,2
"reckless",0,3,1
"reckon",0,2,1
"recommend",0,1,1
"reconnaiss",0,3,0
"record",0,3,10
"recount",0,1,0
"recruit",0,2,0
"recycl",0,5,0
"recyclingweek",0,1,0
"red",0,6,1
"redcliff",0,1,0
"reddi",0,1,0
"redland",0,9,0
"redlandmetrosouth",0,1,0
"redress",0,3,0
"reelect",0,1,1
"refer",0,1,3
"refreshthectgrefresh",0,1,0
"refug",0,1,0
"refund",0,11,1
"regionalaust",0,1,0
"regist",0,2,0
"regul",0,1,3
"reinforc",0,1,0
"rel",0,1,2
"rela",0,1,0
"relationship",0,4,7
"relax",0,1,1
"releas",0,22,12
"relief",0,11,5
"religion",0,2,0
"rem",0,1,0
"remembran",0,1,0
"remind",0,1,4
"remot",0,4,0
"remus",0,1,0
"renaiss",0,1,0
"rent",0,4,1
"rental",0,1,0
"repcoservic",0,1,0
"report",0,8,12
"repost",0,1,0
"res",0,1,1
"research",0,2,11
"resign",0,1,3
"resolut",0,2,0
"resort",0,1,0
"respons",0,3,10
"restaur",0,1,0
"restrain",0,1,0
"restrict",0,1,1
"retail",0,1,2
"retd",0,1,0
"retir",0,3,7
"retire",0,8,0
"retirementtax",0,1,0
"return",0,1,2
"reus",0,1,0
"reusabl",0,1,0
"reveal",0,2,5
"review",0,5,6
"revolut",0,1,0
"rhannacollin",0,1,0
"rheinmetal",0,2,0
"rhetor",0,1,0
"rich",0,1,0
"richard",0,4,0
"richardtuffin",0,1,0
"richardyabsley",0,1,0
"richjweston",0,1,0
"rick",0,2,0
"ridicul",0,1,0
"riley",0,1,0
"rimbink",0,1,0
"rip",0,2,5
"riptarawb",0,1,0
"risk",0,6,2
"riversid",0,3,0
"rmhadelaid",0,1,0
"rnbreakfast",0,1,1
"roach",0,1,0
"roadval",0,1,0
"robluca",0,1,0
"robstott",0,1,2
"robust",0,2,0
"rocket",0,1,0
"rodrigu",0,1,0
"rol",0,1,0
"role",0,5,4
"rollout",0,3,4
"ronachandrawati",0,1,0
"ronald",0,1,3
"rooti",0,2,0
"rort",0,1,0
"rorymcclaren",0,4,0
"rosemari",0,1,0
"rossgreenwood",0,1,0
"roundtabl",0,2,4
"rowandean",0,13,0
"royal",0,1,4
"rpmlin",0,1,0
"rubbish",0,2,0
"rule",0,2,2
"ryan",0,1,2
"sabralan",0,1,0
"sacrific",0,1,0
"sad",0,5,3
"said",0,4,22
"sailor",0,1,0
"salibmedia",0,2,0
"salvationarmi",0,2,0
"samduluk",0,2,0
"samesex",0,2,1
"sand",0,1,0
"sanjayzum",0,1,0
"satellit",0,2,0
"satisfact",0,2,0
"save",0,5,3
"sbg",0,1,0
"sbs",0,1,1
"scan",0,1,0
"scene",0,1,1
"scheme",0,4,1
"scholar",0,1,0
"schoolgirl",0,1,0
"scienc",0,1,2
"scinat",0,1,0
"scout",0,4,3
"search",0,1,0
"second",0,9,7
"secondbit",0,1,0
"securitis",0,2,0
"seek",0,2,6
"seem",0,1,5
"sele",0,1,0
"select",0,3,0
"senat",0,4,14
"senatorcash",0,1,0
"senatorfifield",0,2,0
"senatorwong",0,3,4
"senbmckenzi",0,2,0
"send",0,1,1
"senio",0,1,0
"senior",0,2,4
"senpaterson",0,1,0
"separ",0,5,0
"septemb",0,4,2
"ser",0,1,0
"serp",0,1,0
"servant",0,1,0
"session",0,4,0
"settl",0,1,2
"settlement",0,1,2
"seven",0,1,1
"sever",0,1,0
"shadow",0,2,5
"shake",0,1,1
"shauncart",0,1,0
"sheer",0,1,0
"shendersonmp",0,7,0
"shine",0,1,1
"ship",0,5,5
"shipbuild",0,3,2
"shipyard",0,2,0
"shit",0,1,2
"shock",0,1,3
"shoebridgemlc",0,1,0
"short",0,2,3
"shorten",0,2,19
"shortter",0,1,0
"show",0,4,13
"showcas",0,1,0
"shre",0,1,0
"side",0,1,1
"sign",0,6,3
"signific",0,1,3
"silicosissav",0,1,0
"simon",0,2,0
"simpl",0,1,0
"sir",0,1,0
"sisto",0,4,1
"six",0,3,4
"skill",0,2,2
"skin",0,2,0
"sky",0,1,5
"skyaus",0,1,0
"slogan",0,1,1
"smallbiz",0,8,0
"smes",0,1,0
"smoke",0,1,0
"smsfs",0,1,0
"sneaki",0,1,0
"snowyschem",0,1,0
"socceroo",0,1,3
"social",0,7,12
"societi",0,2,8
"sod",0,3,0
"sohnheartsmind",0,1,0
"solar",0,1,5
"soldier",0,1,1
"somehow",0,1,0
"someth",0,1,9
"soon",0,2,4
"sooner",0,1,0
"sophi",0,1,2
"sophia",0,1,0
"sophiemonk",0,1,0
"soundscoutsgam",0,1,0
"south",0,6,5
"southern",0,3,1
"southernxcs",0,3,0
"southwickmp",0,1,0
"souveni",0,1,0
"space",0,6,3
"spaghettio",0,1,0
"spat",0,1,0
